1,Markelle Fultz,/players/f/fultzma01.html
2,Lonzo Ball,/players/b/balllo01.html
3,Jayson Tatum,/players/t/tatumja01.html
4,Josh Jackson,/players/j/jacksjo02.html
5,De'Aaron Fox,/players/f/foxde01.html
6,Jonathan Isaac,/players/i/isaacjo01.html
7,Lauri Markkanen,/players/m/markkla01.html
8,Frank Ntilikina,/players/n/ntilila01.html
9,Dennis Smith,/players/s/smithde03.html
10,Zach Collins,/players/c/colliza01.html
11,Malik Monk,/players/m/monkma01.html
12,Luke Kennard,/players/k/kennalu01.html
13,Donovan Mitchell,/players/m/mitchdo01.html
14,Bam Adebayo,/players/a/adebaba01.html
15,Justin Jackson,/players/j/jacksju01.html
16,Justin Patton,/players/p/pattoju01.html
17,D.J. Wilson,/players/w/wilsodj01.html
18,T.J. Leaf,/players/l/leaftj01.html
19,John Collins,/players/c/collijo01.html
20,Harry Giles,/players/g/gilesha01.html
21,Terrance Ferguson,/players/f/fergute01.html
22,Jarrett Allen,/players/a/allenja01.html
23,OG Anunoby,/players/a/anunoog01.html
24,Tyler Lydon,/players/l/lydonty01.html
25,Anzejs Pasecniks,/players/p/pasecan01.html
26,Caleb Swanigan,/players/s/swanica01.html
27,Kyle Kuzma,/players/k/kuzmaky01.html
28,Tony Bradley,/players/b/bradlto01.html
29,Derrick White,/players/w/whitede01.html
30,Josh Hart,/players/h/hartjo01.html
31,Frank Jackson,/players/j/jacksfr01.html
32,Davon Reed,/players/r/reedda01.html
33,Wesley Iwundu,/players/i/iwundwe01.html
34,Frank Mason,/players/m/masonfr01.html
35,Ivan Rabb,/players/r/rabbiv01.html
36,Jonah Bolden,/players/b/boldejo01.html
37,Semi Ojeleye,/players/o/ojelese01.html
38,Jordan Bell,/players/b/belljo01.html
39,Jawun Evans,/players/e/evansja01.html
40,Dwayne Bacon,/players/b/bacondw01.html
41,Tyler Dorsey,/players/d/dorsety01.html
42,Thomas Bryant,/players/b/bryanth01.html
43,Isaiah Hartenstein,/players/h/harteis01.html
44,Damyean Dotson,/players/d/dotsoda01.html
45,Dillon Brooks,/players/b/brookdi01.html
46,Sterling Brown,/players/b/brownst02.html
47,Ike Anigbogu,/players/a/anigbik01.html
48,Sindarius Thornwell,/players/t/thornsi01.html
49,Vlatko Cancar,/players/c/cancavl01.html
50,Mathias Lessort,/players/l/lessoma01.html
51,Monte Morris,/players/m/morrimo01.html
52,Edmond Sumner,/players/s/sumneed01.html
53,Kadeem Allen,/players/a/allenka01.html
54,Alec Peters,/players/p/peteral01.html
55,Nigel Williams-Goss,/players/w/willini01.html
56,Jabari Bird,/players/b/birdja01.html
57,Aleksandar Vezenkov,/players/v/vezenal01.html
58,Ognjen Jaramaz,/players/j/jaramog01.html
59,Jaron Blossomgame,/players/b/blossja01.html
60,Alpha Kaba,/players/k/kabaal01.html