Pick#,Name,School,3FG%,FT%,Predicted NBA 3FG%
54,Alec Peters,Valparaiso,0.416,0.846,0.375543796
7,Lauri Markkanen,Arizona,0.423,0.835,0.374949207
12,Luke Kennard,Duke,0.382,0.867,0.372344892
10,Zach Collins,Gonzaga,0.476,0.743,0.36881163
46,Sterling Brown,Southern Methodist,0.451,0.77,0.368629109
39,Jawun Evans,Oklahoma State,0.407,0.818,0.368397969
11,Malik Monk,Kentucky,0.397,0.822,0.367048587
29,Derrick White,Colorado,0.396,0.813,0.36514925
24,Tyler Lydon,Syracuse,0.398,0.809,0.36481848
37,Semi Ojeleye,Total,0.415,0.785,0.363883955
34,Frank Mason,Kansas,0.42,0.763,0.360804606
3,Jayson Tatum,Duke,0.342,0.849,0.360565496
17,D.J. Wilson,Michigan,0.363,0.817,0.358969431
44,Damyean Dotson,Total,0.38,0.796,0.358598012
32,Davon Reed,Miami (FL),0.395,0.779,0.358557363
51,Monte Morris,Iowa State,0.381,0.78,0.355804799
18,TJ Leaf,UCLA,0.466,0.679,0.354698512
45,Dillon Brooks,Oregon,0.362,0.794,0.354442266
41,Tyler Dorsey,Oregon,0.416,0.732,0.354145768
31,Frank Jackson,Duke,0.392,0.755,0.353422458
26,Caleb Swanigan,Purdue,0.376,0.76,0.351000664
55,Nigel Williams-Goss,Total,0.331,0.806,0.350184101
53,Kadeem Allen,Arizona,0.4,0.725,0.34947155
6,Jonathan Isaac,Florida State,0.348,0.78,0.348874172
56,Jabari Bird,University of California,0.37,0.753,0.348426636
13,Donovan Mitchell,Louisville,0.329,0.788,0.346385427
30,Josh Hart,Villanova,0.389,0.72,0.346222831
48,Sindarius Thornwell,South Carolina,0.34,0.771,0.345504702
42,Thomas Bryant,Indiana,0.373,0.718,0.342487123
2,Lonzo Ball,UCLA,0.412,0.673,0.342231274
35,Ivan Rabb,University of California,0.409,0.666,0.340287303
9,Dennis Smith Jr.,North Carolina State,0.359,0.715,0.338983751
16,Justin Patton,Creighton,0.533,0.517,0.338362061
1,Markelle Fultz,Washington,0.413,0.649,0.337936445
15,Justin Jackson,North Carolina,0.339,0.713,0.334407967
40,Dwayne Bacon,Florida State,0.312,0.733,0.332491494
59,Jaron Blossomgame,Clemson,0.315,0.723,0.331244531
33,Wesley Iwundu,Kansas State,0.338,0.689,0.3296931
52,Edmond Sumner,Xavier,0.285,0.731,0.326445577
5,De'Aaron Fox,Kentucky,0.246,0.739,0.319756452
36,Jonah Bolden,UCLA,0.25,0.733,0.319470316
4,Josh Jackson,Kansas,0.378,0.566,0.315006514
27,Kyle Kuzma,Utah,0.302,0.631,0.3112457
23,OG Anunoby,Indiana,0.365,0.522,0.304017379
38,Jordan Bell,Oregon,0.188,0.627,0.286552726
19,John Collins,Wake Forest,0,0.729,0.266214758
14,Edrice Adebayo,Kentucky,0,0.653,0.251949406
28,Tony Bradley,North Carolina,0,0.619,0.245567538
22,Jarrett Allen,Texas,0,0.564,0.235243928
47,Ike Anigbogu,UCLA,0,0.535,0.22980057
20,Harry Giles,Duke,0,0.5,0.223231